"Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","Hour","Day"
"2015-00031796",2015-06-02 16:28:00,"ACTON ST / ASHBY AVE","T","",1,"BM4TCN","Black","Male","40+","Traffic","Citation","No Search",16,"3"
"2015-00031797",2015-06-02 16:29:00,"ASHBY AVE / MABEL ST","T","",1,"BF4TCN","Black","Female","40+","Traffic","Citation","No Search",16,"3"
"2015-00031799",2015-06-02 16:36:00,"WOOLSEY ST / CALIFORNIA ST","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",16,"3"
"2015-00031804",2015-06-02 16:45:00,"SHATTUCK AVE / WARD ST","T","",1,"WM2TCN","White","Male","18-29","Traffic","Citation","No Search",16,"3"
"2015-00031806",2015-06-02 16:49:00,"M L KING JR WAY / HASTE ST","T","",1,"AM2TCN","Asian","Male","18-29","Traffic","Citation","No Search",16,"3"
"2015-00031807",2015-06-02 16:54:00,"ADDISON ST / M L KING JR WAY","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",16,"3"
"2015-00031813",2015-06-02 17:03:00,"M L KING JR WAY / CEDAR ST","T","",1,"WF4TCN","White","Female","40+","Traffic","Citation","No Search",17,"3"
"2015-00031815",2015-06-02 17:10:00,"M L KING JR WAY / ADDISON ST","T","",1,"HM3TCN","Hispanic","Male","30-39","Traffic","Citation","No Search",17,"3"
"2015-00031816",2015-06-02 17:15:00,"2300 BLOCK BONAR ST","T","",1,"BM1TWS","Black","Male","0-18","Traffic","Warning","Search",17,"3"
"2015-00031820",2015-06-02 17:26:00,"CEDA/JUAN","T","",1,"WF4TWN","White","Female","40+","Traffic","Warning","No Search",17,"3"
"2015-00031821",2015-06-02 17:27:00,"MURRAY ST / NINTH ST","T","",1,"BM3TCS","Black","Male","30-39","Traffic","Citation","Search",17,"3"
"2015-00031830",2015-06-02 18:17:00,"1700 BLOCK HEARST AVE","1194","",1,"WM4RWN","White","Male","40+","Probation/ Paroleeasonable Suspicion","Warning","No Search",18,"3"
"2015-00031834",2015-06-02 18:38:00,"2500 BLOCK TELEGRAPH AVE","1194","",1,"WM3RCN","White","Male","30-39","Probation/ Paroleeasonable Suspicion","Citation","No Search",18,"3"
"2015-00031842",2015-06-02 19:26:00,"ASHBY AVE / NINTH ST","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",19,"3"
"2015-00031846",2015-06-02 19:42:00,"SAN PABLO AVE / DWIGHT WAY","T","",1,"BM4TWS","Black","Male","40+","Traffic","Warning","Search",19,"3"
"2015-00031847",2015-06-02 19:49:00,"DWIGHT WAY / ELLSWORTH ST","T","",1,"WM2TCN","White","Male","18-29","Traffic","Citation","No Search",19,"3"
"2015-00031850",2015-06-02 20:07:00,"UNIVERSITY AVE / CALIFORNIA ST","T","",1,"WM2TAN","White","Male","18-29","Traffic","Arrest","No Search",20,"3"
"2015-00031851",2015-06-02 20:12:00,"CALIFORNIA ST / FAIRVIEW ST","T","",1,"BM3TWS","Black","Male","30-39","Traffic","Warning","Search",20,"3"
"2015-00031852",2015-06-02 20:14:00,"ADELINE ST / GENOA ST","T","",1,"BM2IWS","Black","Male","18-29","Investigation","Warning","Search",20,"3"
"2015-00031861",2015-06-02 21:54:00,"2400 BLOCK DURANT AVE","T","",1,"WM2TCN","White","Male","18-29","Traffic","Citation","No Search",21,"3"
"2015-00031863",2015-06-02 22:02:00,"KING ST / ALCATRAZ AVE","T","",1,"BM2TWS","Black","Male","18-29","Traffic","Warning","Search",22,"3"
"2015-00031868",2015-06-02 22:33:00,"MILVIA ST / WARD ST","T","FC",1,"BF2TWN","Black","Female","18-29","Traffic","Warning","No Search",22,"3"
"2015-00031870",2015-06-02 22:45:00,"ADELINE ST / OREGON ST","T","",1,"BF4TWN","Black","Female","40+","Traffic","Warning","No Search",22,"3"
"2015-00031873",2015-06-02 22:58:00,"ADELINE ST / ALCATRAZ AVE","T","",1,"OM3TCN","Other","Male","30-39","Traffic","Citation","No Search",22,"3"
"2015-00031876",2015-06-02 23:17:00,"SAN PABLO AVE / MURRAY ST","T","",1,"HM2TWN","Hispanic","Male","18-29","Traffic","Warning","No Search",23,"3"
"2015-00031877",2015-06-02 23:20:00,"SAN PABLO AVE / RUSSELL ST","T","",1,"BF4TWN","Black","Female","40+","Traffic","Warning","No Search",23,"3"
"2015-00031891",2015-06-03 01:41:00,"MARIN AVE / COLUSA AVE","T","",1,"WM2TWN","White","Male","18-29","Traffic","Warning","No Search",1,"4"
"2015-00031906",2015-06-03 07:28:00,"COLLEGE AVE / RUSSELL ST","T","",1,"WF3TCN","White","Female","30-39","Traffic","Citation","No Search",7,"4"
"2015-00031911",2015-06-03 07:41:00,"CARLETON ST / SHATTUCK AVE","T","",1,"AM4TCN","Asian","Male","40+","Traffic","Citation","No Search",7,"4"
"2015-00031912",2015-06-03 07:54:00,"SHATTUCK AVE / OREGON ST","T","",1,"AM2TCN","Asian","Male","18-29","Traffic","Citation","No Search",7,"4"
"2015-00031922",2015-06-03 08:46:00,"COLLEGE AVE / HASTE ST","T","",1,"OM2TCN","Other","Male","18-29","Traffic","Citation","No Search",8,"4"
"2015-00031927",2015-06-03 08:54:00,"HEARST AVE / SPRUCE ST","T","",1,"WM3TCN","White","Male","30-39","Traffic","Citation","No Search",8,"4"
"2015-00031929",2015-06-03 09:05:00,"BERKELEY WAY / WALNUT ST","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",9,"4"
"2015-00031934",2015-06-03 09:28:00,"700 BLOCK FOLGER AVE","T","",1,"WM2TCN","White","Male","18-29","Traffic","Citation","No Search",9,"4"
"2015-00031946",2015-06-03 10:31:00,"37.8716593979737~-122.302363396026","1194","",1,"WM3RCN","White","Male","30-39","Probation/ Paroleeasonable Suspicion","Citation","No Search",10,"4"
"2015-00031955",2015-06-03 11:33:00,"37.8716593979737~-122.302363396026","1194","",1,"OM4RCN","Other","Male","40+","Probation/ Paroleeasonable Suspicion","Citation","No Search",11,"4"
"2015-00031958",2015-06-03 11:40:00,"37.8716593979737~-122.302363396026","1194","",1,"AF4RCN","Asian","Female","40+","Probation/ Paroleeasonable Suspicion","Citation","No Search",11,"4"
"2015-00031960",2015-06-03 11:48:00,"GRANT ST / ADDISON ST","T","",1,"WF4TCN","White","Female","40+","Traffic","Citation","No Search",11,"4"
"2015-00031972",2015-06-03 12:16:00,"UNIVERSITY AVE / W FRONTAGE RD","T","",1,"HM3TWN","Hispanic","Male","30-39","Traffic","Warning","No Search",12,"4"
