"Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","Hour","Day"
"2015-00053277",2015-09-09 23:17:00,"M L KING JR WAY / HEARST AVE","T","",1,"AM2TWN","Asian","Male","18-29","Traffic","Warning","No Search",23,"4"
"2015-00053278",2015-09-09 23:19:00,"SHATTUCK AVE / VINE ST","1194B","",1,"BM2ION","Black","Male","18-29","Investigation","Other","No Search",23,"4"
"2015-00053304",2015-09-10 02:57:00,"UNI/OXF","T","",1,"OM2TWN","Other","Male","18-29","Traffic","Warning","No Search",2,"5"
"2015-00053353",2015-09-10 10:52:00,"2100 BLOCK MILVIA ST","1194","",1,"BM4TWS","Black","Male","40+","Traffic","Warning","Search",10,"5"
"2015-00053360",2015-09-10 11:50:00,"M L KING JR WAY / ADDISON ST","T","",1,"HM2TCS","Hispanic","Male","18-29","Traffic","Citation","Search",11,"5"
"2015-00053370",2015-09-10 12:34:00,"WOOLSEY ST / ADELINE ST","1194","P",1,"BM4ICS","Black","Male","40+","Investigation","Citation","Search",12,"5"
"2015-00053370",2015-09-10 12:34:00,"WOOLSEY ST / ADELINE ST","1194","P",2,"BM4IAS","Black","Male","40+","Investigation","Arrest","Search",12,"5"
"2015-00053376",2015-09-10 13:17:00,"2200 BLOCK SHATTUCK AVE","1194","",1,"WF2RCN","White","Female","18-29","Probation/ Paroleeasonable Suspicion","Citation","No Search",13,"5"
"2015-00053402",2015-09-10 15:08:00,"SIXTY-THIRD ST / SHATTUCK AVE","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",15,"5"
"2015-00053403",2015-09-10 15:13:00,"TELEGRAPH AVE / SIXTY-SIXTH ST","1194","",1,"BF3TWN","Black","Female","30-39","Traffic","Warning","No Search",15,"5"
"2015-00053404",2015-09-10 15:17:00,"ALCATRAZ AVE / SACRAMENTO ST","T","AR",1,"BF4TWN","Black","Female","40+","Traffic","Warning","No Search",15,"5"
"2015-00053404",2015-09-10 15:17:00,"ALCATRAZ AVE / SACRAMENTO ST","T","AR",2,"BM4TAS","Black","Male","40+","Traffic","Arrest","Search",15,"5"
"2015-00053405",2015-09-10 15:28:00,"ADELINE ST / M L KING JR WAY","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",15,"5"
"2015-00053406",2015-09-10 15:36:00,"SIXTY-THIRD ST / HERZOG ST","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",15,"5"
"2015-00053408",2015-09-10 15:59:00,"1000 BLOCK SIXTY-FIFTH ST","1196","",1,"BM2IWS","Black","Male","18-29","Investigation","Warning","Search",15,"5"
"2015-00053412",2015-09-10 16:10:00,"SIXTY-SEVENTH ST / HOLLIS ST","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",16,"5"
"2015-00053414",2015-09-10 16:18:00,"61ST ST / HOLLIS ST","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",16,"5"
"2015-00053415",2015-09-10 16:23:00,"1300 BLOCK NINTH ST","1194","",1,"OM4RWN","Other","Male","40+","Probation/ Paroleeasonable Suspicion","Warning","No Search",16,"5"
"2015-00053418",2015-09-10 16:34:00,"VIRGINIA ST / SIXTH ST","1194B","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",16,"5"
"2015-00053421",2015-09-10 16:37:00,"SIXTY-SEVENTH ST / SAN PABLO AVE","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",16,"5"
"2015-00053423",2015-09-10 16:46:00,"MABEL ST / SIXTY-SIXTH ST","1196","",1,"HM2TWS","Hispanic","Male","18-29","Traffic","Warning","Search",16,"5"
"2015-00053424",2015-09-10 16:49:00,"1700 BLOCK TENTH ST","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",16,"5"
"2015-00053427",2015-09-10 16:58:00,"200 BLOCK MARINA BLVD","T","",1,"WM2TWN","White","Male","18-29","Traffic","Warning","No Search",16,"5"
"2015-00053428",2015-09-10 17:03:00,"HASTE ST / DANA ST","T","",1,"HF2TCN","Hispanic","Female","18-29","Traffic","Citation","No Search",17,"5"
"2015-00053433",2015-09-10 17:17:00,"37.865350801~-122.30299227","T","",1,"BF2TWS","Black","Female","18-29","Traffic","Warning","Search",17,"5"
"2015-00053434",2015-09-10 17:18:00,"PARK ST / BURNETT ST","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",17,"5"
"2015-00053435",2015-09-10 17:20:00,"TELEGRAPH AVE / STUART ST","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",17,"5"
"2015-00053437",2015-09-10 17:24:00,"ASHBY AVE / CALIFORNIA ST","T","",1,"HF4TWN","Hispanic","Female","40+","Traffic","Warning","No Search",17,"5"
"2015-00053438",2015-09-10 17:25:00,"SACRAMENTO ST / OREGON ST","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",17,"5"
"2015-00053439",2015-09-10 17:27:00,"SACRAMENTO ST / PARKER ST","T","",1,"OF2TWN","Other","Female","18-29","Traffic","Warning","No Search",17,"5"
"2015-00053441",2015-09-10 17:34:00,"1800 BLOCK ASHBY AVE","T","",1,"BF2TAS","Black","Female","18-29","Traffic","Arrest","Search",17,"5"
"2015-00053442",2015-09-10 17:35:00,"RUSSELL ST / ADELINE ST","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",17,"5"
"2015-00053449",2015-09-10 17:48:00,"SACRAMENTO ST / FAIRVIEW ST","T","",1,"BM2KWS","Black","Male","18-29","K","Warning","Search",17,"5"
"2015-00053453",2015-09-10 17:53:00,"NINTH ST / POTTER ST","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",17,"5"
"2015-00053456",2015-09-10 18:03:00,"SAN PABLO AVE / MURRAY ST","1194","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",18,"5"
"2015-00053464",2015-09-10 18:37:00,"CALIFORNIA ST / BANCROFT WAY","T","",1,"OM3TCN","Other","Male","30-39","Traffic","Citation","No Search",18,"5"
"2015-00053466",2015-09-10 18:47:00,"ALLSTON WAY / MILVIA ST","T","",1,"WM2TCN","White","Male","18-29","Traffic","Citation","No Search",18,"5"
"2015-00053467",2015-09-10 18:47:00,"EIGHTH ST / CHANNING WAY","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",18,"5"
"2015-00053485",2015-09-10 20:02:00,"ADDISON ST / BONAR ST","T","",1,"BM4RWN","Black","Male","40+","Probation/ Paroleeasonable Suspicion","Warning","No Search",20,"5"
"2015-00053498",2015-09-10 21:06:00,"ASBH/WO KING","T","",1,"HF2TWN","Hispanic","Female","18-29","Traffic","Warning","No Search",21,"5"
"2015-00053515",2015-09-10 22:51:00,"DURANT AVE / TELEGRAPH AVE","T","",1,"WM2TWN","White","Male","18-29","Traffic","Warning","No Search",22,"5"
"2015-00053524",2015-09-10 23:53:00,"BANC/WO TELE","T","",1,"HM2TWN","Hispanic","Male","18-29","Traffic","Warning","No Search",23,"5"
"2015-00053533",2015-09-11 01:36:00,"2800 BLOCK DERBY ST","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",1,"6"
"2015-00053570",2015-09-11 09:38:00,"SACRAMENTO ST / OREGON ST","T","",1,"OM2TWN","Other","Male","18-29","Traffic","Warning","No Search",9,"6"
"2015-00053574",2015-09-11 10:02:00,"M L KING JR WAY / CENTER ST","T","",1,"WF3TWN","White","Female","30-39","Traffic","Warning","No Search",10,"6"
"2015-00053575",2015-09-11 10:04:00,"DWIGHT WAY / WEST ST","T","",1,"WM4TWN","White","Male","40+","Traffic","Warning","No Search",10,"6"
"2015-00053578",2015-09-11 10:15:00,"DWIGHT WAY / SHATTUCK AVE","T","TOW",1,"BM3TCS","Black","Male","30-39","Traffic","Citation","Search",10,"6"
"2015-00053582",2015-09-11 10:43:00,"WOOLSEY ST / M L KING JR WAY","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",10,"6"
"2015-00053608",2015-09-11 13:20:00,"SEVENTH ST / ASHBY AVE","T","",1,"AF3TCN","Asian","Female","30-39","Traffic","Citation","No Search",13,"6"
"2015-00053636",2015-09-11 15:28:00,"M L KING JR WAY / ALLSTON WAY","T","",1,"WF3TWN","White","Female","30-39","Traffic","Warning","No Search",15,"6"
"2015-00053700",2015-09-11 21:07:00,"UNIVERSITY AVE / SIXTH ST","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",21,"6"
"2015-00053701",2015-09-11 21:12:00,"FAIRVIEW ST / SHATTUCK AVE","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",21,"6"
"2015-00053718",2015-09-11 22:50:00,"TELEGRAPH AVE / RUSSELL ST","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",22,"6"
"2015-00053726",2015-09-11 23:25:00,"SAN PABLO AVE / GILMAN ST","T","",1,"WF3TWN","White","Female","30-39","Traffic","Warning","No Search",23,"6"
"2015-00053728",2015-09-11 23:39:00,"BLAKE ST / M L KING JR WAY","T","TOW",1,"BM2TCS","Black","Male","18-29","Traffic","Citation","Search",23,"6"
"2015-00053729",2015-09-11 23:47:00,"FRONTAGE RD/ASHBY AVE","1196","",1,"HM3TWN","Hispanic","Male","30-39","Traffic","Warning","No Search",23,"6"
"2015-00053731",2015-09-11 23:50:00,"UNIVERSITY AVE / GRANT ST","T","",1,"WF3TCN","White","Female","30-39","Traffic","Citation","No Search",23,"6"
"2015-00053733",2015-09-12 00:01:00,"SAN PABLO AVE / PAGE ST","T","",1,"OM3TWN","Other","Male","30-39","Traffic","Warning","No Search",0,"7"
"2015-00053737",2015-09-12 00:19:00,"STUART ST / BENVENUE AVE","T","",1,"BF2TWN","Black","Female","18-29","Traffic","Warning","No Search",0,"7"
"2015-00053741",2015-09-12 00:37:00,"ASHBY AVE / HARPER ST","T","",1,"WF2TWN","White","Female","18-29","Traffic","Warning","No Search",0,"7"
"2015-00053746",2015-09-12 00:57:00,"TELEGRAPH AVE / ASHBY AVE","T","",1,"WM2TCN","White","Male","18-29","Traffic","Citation","No Search",0,"7"
"2015-00053767",2015-09-12 02:26:00,"UNIVERSITY AVE / SACRAMENTO ST","T","",1,"HM2TWN","Hispanic","Male","18-29","Traffic","Warning","No Search",2,"7"
"2015-00053772",2015-09-12 02:56:00,"CHANNING WAY / SAN PABLO AVE","T","",1,"WM2TWN","White","Male","18-29","Traffic","Warning","No Search",2,"7"
"2015-00053797",2015-09-12 08:56:00,"M L KING JR WAY / ADDISON ST","T","",1,"BM4TCN","Black","Male","40+","Traffic","Citation","No Search",8,"7"
"2015-00053811",2015-09-12 09:59:00,"SIXTY-THIRD ST / ADELINE ST","1194","",1,"BF4IWN","Black","Female","40+","Investigation","Warning","No Search",9,"7"
"2015-00053814",2015-09-12 10:27:00,"M L KING JR WAY / ASHBY AVE","T","",1,"BF4TWN","Black","Female","40+","Traffic","Warning","No Search",10,"7"
"2015-00053831",2015-09-12 11:55:00,"SHATTUCK AVE / DERBY ST","T","",1,"BM3TCN","Black","Male","30-39","Traffic","Citation","No Search",11,"7"
"2015-00053863",2015-09-12 15:00:00,"SIXTH ST / ADDISON ST","T","",1,"WM4TWN","White","Male","40+","Traffic","Warning","No Search",15,"7"
"2015-00053890",2015-09-12 17:35:00,"ASHBY AVE / CLAREMONT AVE","T","",1,"BF3TCN","Black","Female","30-39","Traffic","Citation","No Search",17,"7"
"2015-00053895",2015-09-12 17:57:00,"SACRAMENTO ST / WARD ST","T","TOW, IN, AR",1,"BF3TWS","Black","Female","30-39","Traffic","Warning","Search",17,"7"
"2015-00053895",2015-09-12 17:57:00,"SACRAMENTO ST / WARD ST","T","TOW, IN, AR",2,"BF2TAS","Black","Female","18-29","Traffic","Arrest","Search",17,"7"
"2015-00053904",2015-09-12 19:10:00,"HARRISON ST / SAN PABLO AVE","T","",1,"WF2TWN","White","Female","18-29","Traffic","Warning","No Search",19,"7"
"2015-00053921",2015-09-12 20:19:00,"SAN PABLO AVE / ALCATRAZ AVE","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",20,"7"
"2015-00053922",2015-09-12 20:23:00,"DWIGHT WAY / MCGEE AVE","T","",1,"OF2TWN","Other","Female","18-29","Traffic","Warning","No Search",20,"7"
"2015-00053925",2015-09-12 20:33:00,"61ST /MARKET ST","T","",1,"BF2TWN","Black","Female","18-29","Traffic","Warning","No Search",20,"7"
"2015-00053926",2015-09-12 20:36:00,"CENTER ST / OXFORD ST","T","",1,"BF2TWN","Black","Female","18-29","Traffic","Warning","No Search",20,"7"
"2015-00053928",2015-09-12 20:46:00,"SACRAMENTO ST / WARD ST","T","",1,"WM4TWN","White","Male","40+","Traffic","Warning","No Search",20,"7"
"2015-00053930",2015-09-12 20:52:00,"DWIGHT WAY / TENTH ST","T","",1,"BM2TWS","Black","Male","18-29","Traffic","Warning","Search",20,"7"
"2015-00053931",2015-09-12 21:00:00,"TELEGRAPH AVE / WARD ST","T","",1,"AM4TCN","Asian","Male","40+","Traffic","Citation","No Search",21,"7"
"2015-00053934",2015-09-12 21:06:00,"STAN LO","T","",1,"HF2TWN","Hispanic","Female","18-29","Traffic","Warning","No Search",21,"7"
"2015-00053937",2015-09-12 21:20:00,"TELEGRAPH AVE / PARKER ST","T","TOW",1,"BM4TCS","Black","Male","40+","Traffic","Citation","Search",21,"7"
"2015-00053939",2015-09-12 21:22:00,"COLLEGE AVE / DERBY ST","T","",1,"WM4TWN","White","Male","40+","Traffic","Warning","No Search",21,"7"
"2015-00053941",2015-09-12 21:34:00,"CEDAR ST / BONITA AVE","T","",1,"WM3TWN","White","Male","30-39","Traffic","Warning","No Search",21,"7"
"2015-00053948",2015-09-12 22:03:00,"PIEDMONT AVE / BANCROFT WAY","T","",1,"AM2TCN","Asian","Male","18-29","Traffic","Citation","No Search",22,"7"
"2015-00053953",2015-09-12 22:23:00,"80 BLOCK BOLIVAR DR","1196","",1,"BM4IWN","Black","Male","40+","Investigation","Warning","No Search",22,"7"
"2015-00053961",2015-09-12 23:00:00,"2100 BLOCK UNIVERSITY AVE","1194","",1,"WM2IWN","White","Male","18-29","Investigation","Warning","No Search",23,"7"
"2015-00053976",2015-09-13 00:03:00,"FOURTH ST / ESSEX WAY","1196","",1,"WF3IWS","White","Female","30-39","Investigation","Warning","Search",0,"1"
"2015-00053978",2015-09-13 00:07:00,"TELEGRAPH AVE / BLAKE ST","T","",1,"BM2TCS","Black","Male","18-29","Traffic","Citation","Search",0,"1"
"2015-00054000",2015-09-13 01:27:00,"TELEGRAPH AVE / DURANT AVE","T","",1,"WF2TWN","White","Female","18-29","Traffic","Warning","No Search",1,"1"
"2015-00054004",2015-09-13 01:46:00,"ALCATRAZ AVE / ADELINE ST","T","",1,"BF2TWN","Black","Female","18-29","Traffic","Warning","No Search",1,"1"
"2015-00054014",2015-09-13 02:27:00,"BANCROFT WAY / GRANT ST","1194","",1,"WM2IWN","White","Male","18-29","Investigation","Warning","No Search",2,"1"
"2015-00054018",2015-09-13 03:14:00,"UNIVERSITY AVE / GRANT ST","T","",1,"OM2TWN","Other","Male","18-29","Traffic","Warning","No Search",3,"1"
"2015-00054068",2015-09-13 13:18:00,"ALCATRAZ AVE / CLAREMONT AVE","T","",1,"HM4TCN","Hispanic","Male","40+","Traffic","Citation","No Search",13,"1"
"2015-00054082",2015-09-13 15:46:00,"UNIVERSITY AVE / ACTON ST","T","",1,"WM4TWN","White","Male","40+","Traffic","Warning","No Search",15,"1"
"2015-00054099",2015-09-13 17:19:00,"COLLEGE AVE / CHANNING WAY","T","",1,"WM3TWN","White","Male","30-39","Traffic","Warning","No Search",17,"1"
"2015-00054127",2015-09-13 19:46:00,"SAN PABLO AVE / ADDISON ST","T","",1,"WF4TWN","White","Female","40+","Traffic","Warning","No Search",19,"1"
"2015-00054133",2015-09-13 20:10:00,"CURTIS ST / HOPKINS ST","T","",1,"WF2TWN","White","Female","18-29","Traffic","Warning","No Search",20,"1"
"2015-00054137",2015-09-13 20:24:00,"SAN PABLO AVE / MARIN AVE","T","",1,"BF4TWN","Black","Female","40+","Traffic","Warning","No Search",20,"1"
"2015-00054141",2015-09-13 20:32:00,"SAN PABLO AVE / COWPER ST","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",20,"1"
"2015-00054145",2015-09-13 20:56:00,"MABEL ST / ASHBY AVE","1194B","",1,"BM4TWS","Black","Male","40+","Traffic","Warning","Search",20,"1"
"2015-00054156",2015-09-13 21:50:00,"WOOLSEY ST / ADELINE ST","T","",1,"BM2TWS","Black","Male","18-29","Traffic","Warning","Search",21,"1"
"2015-00054161",2015-09-13 22:09:00,"UNIVERSITY AVE / SAN PABLO AVE","T","",1,"WF2TWN","White","Female","18-29","Traffic","Warning","No Search",22,"1"
"2015-00054162",2015-09-13 22:10:00,"1900 BLOCK SIXTH ST","1194","",1,"BM3KWS","Black","Male","30-39","K","Warning","Search",22,"1"
"2015-00054163",2015-09-13 22:14:00,"UNIVERSITY AVE / SEVENTH ST","T","",1,"WM3TWN","White","Male","30-39","Traffic","Warning","No Search",22,"1"
"2015-00054164",2015-09-13 22:19:00,"CLAREMONT AVE / THE UPLANDS","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",22,"1"
"2015-00054180",2015-09-13 23:16:00,"KING ST / HARMON ST","T","",1,"BM3TWS","Black","Male","30-39","Traffic","Warning","Search",23,"1"
"2015-00054181",2015-09-13 23:29:00,"FAIRVIEW ST / SACRAMENTO ST","1194B","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",23,"1"
"2015-00054184",2015-09-13 23:47:00,"FOLGER AVE / SAN PABLO AVE","1196","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",23,"1"
"2015-00054192",2015-09-14 01:07:00,"SAN PABLO AVE / ALCATRAZ AVE","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",1,"2"
"2015-00054195",2015-09-14 02:14:00,"HEINZ AVE / SAN PABLO AVE","T","",1,"BM2TWN","Black","Male","18-29","Traffic","Warning","No Search",2,"2"
"2015-00054196",2015-09-14 02:29:00,"DWIGHT WAY / MATHEWS ST","T","",1,"WM4TWN","White","Male","40+","Traffic","Warning","No Search",2,"2"
"2015-00054197",2015-09-14 02:37:00,"61ST ST / LOWELL ST","1194","",1,"BM4IWN","Black","Male","40+","Investigation","Warning","No Search",2,"2"
"2015-00054211",2015-09-14 07:52:00,"ADDISON ST / CALIFORNIA ST","1196","IN",1,"WM3TCS","White","Male","30-39","Traffic","Citation","Search",7,"2"
"2015-00054214",2015-09-14 08:32:00,"1800 BLOCK EUCLID AVE","1194","M",1,"BM3ICN","Black","Male","30-39","Investigation","Citation","No Search",8,"2"
"2015-00054235",2015-09-14 11:40:00,"SHATT/CARELTON","T","",1,"BF2TCN","Black","Female","18-29","Traffic","Citation","No Search",11,"2"
"2015-00054242",2015-09-14 12:01:00,"HASTE ST / FULTON ST","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",12,"2"
"2015-00054244",2015-09-14 12:16:00,"ADDISON ST / SACRAMENTO ST","T","",1,"HM3TCS","Hispanic","Male","30-39","Traffic","Citation","Search",12,"2"
"2015-00054260",2015-09-14 13:34:00,"CEDAR ST / M L KING JR WAY","T","",1,"WM2TCN","White","Male","18-29","Traffic","Citation","No Search",13,"2"
"2015-00054263",2015-09-14 13:54:00,"FRANCISCO ST / GRANT ST","T","",1,"AF4TCN","Asian","Female","40+","Traffic","Citation","No Search",13,"2"
"2015-00054264",2015-09-14 14:03:00,"2500 BLOCK TELEGRAPH AVE","1194","",1,"AF1WWN","Asian","Female","0-18","Wanted","Warning","No Search",14,"2"
"2015-00054282",2015-09-14 16:47:00,"2200 BLOCK SHATTUCK AVE","1194","",1,"BM4RWN","Black","Male","40+","Probation/ Paroleeasonable Suspicion","Warning","No Search",16,"2"
"2015-00054295",2015-09-14 17:28:00,"1600 BLOCK FIFTH ST","1194","",1,"WM4IWN","White","Male","40+","Investigation","Warning","No Search",17,"2"
"2015-00054300",2015-09-14 17:51:00,"CALIFORNIA ST / ALLSTON WAY","T","",1,"WF3TWN","White","Female","30-39","Traffic","Warning","No Search",17,"2"
"2015-00054304",2015-09-14 17:57:00,"2200 BLOCK SHATTUCK AVE","1194","",1,"WM2RCN","White","Male","18-29","Probation/ Paroleeasonable Suspicion","Citation","No Search",17,"2"
"2015-00054353",2015-09-14 22:38:00,"BURNETT ST / SAN PABLO AVE","1196","FC",1,"BF2ION","Black","Female","18-29","Investigation","Other","No Search",22,"2"
"2015-00054369",2015-09-15 00:09:00,"700 BLOCK ASHBY AVE","T","",1,"BM3TWN","Black","Male","30-39","Traffic","Warning","No Search",0,"3"
"2015-00054389",2015-09-15 08:11:00,"ADELINE ST / WOOLSEY ST","T","",1,"WM3TCN","White","Male","30-39","Traffic","Citation","No Search",8,"3"
"2015-00054391",2015-09-15 08:22:00,"ADELINE ST / STUART ST","T","",1,"BM2TCN","Black","Male","18-29","Traffic","Citation","No Search",8,"3"
"2015-00054394",2015-09-15 08:49:00,"MILVIA ST / CEDAR ST","1194B","",1,"WF2TCN","White","Female","18-29","Traffic","Citation","No Search",8,"3"
"2015-00054396",2015-09-15 09:04:00,"MILVIA ST / VIRGINIA ST","1194","",1,"WM3TCN","White","Male","30-39","Traffic","Citation","No Search",9,"3"
"2015-00054402",2015-09-15 09:27:00,"SHATTUCK AVE / BANCROFT WAY","T","",1,"WF4TCN","White","Female","40+","Traffic","Citation","No Search",9,"3"
"2015-00054407",2015-09-15 09:49:00,"PIEDMONT AVE / FOREST AVE","T","",1,"WF4TWN","White","Female","40+","Traffic","Warning","No Search",9,"3"
"2015-00054409",2015-09-15 10:09:00,"SHATTUCK AVE / BANCROFT WAY","T","",1,"BM2TCN","Black","Male","18-29","Traffic","Citation","No Search",10,"3"
"2015-00054411",2015-09-15 10:18:00,"1800 BLOCK UNIVERSITY AVE","T","",1,"BM4TWN","Black","Male","40+","Traffic","Warning","No Search",10,"3"
"2015-00054414",2015-09-15 10:35:00,"ASHBY AVE / NINTH ST","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",10,"3"
"2015-00054416",2015-09-15 10:43:00,"M L KING JR WAY / UNIVERSITY AVE","T","",1,"WF3TCN","White","Female","30-39","Traffic","Citation","No Search",10,"3"
"2015-00054418",2015-09-15 10:45:00,"HEINZ AVE / TENTH ST","T","",1,"WF4TCN","White","Female","40+","Traffic","Citation","No Search",10,"3"
"2015-00054427",2015-09-15 11:41:00,"800 BLOCK UNIVERSITY AVE","T","",1,"BM2TCN","Black","Male","18-29","Traffic","Citation","No Search",11,"3"
"2015-00054429",2015-09-15 11:56:00,"2000 BLOCK FOURTH ST","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",11,"3"
"2015-00054430",2015-09-15 12:05:00,"SIXTH ST / HEARST AVE","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",12,"3"
"2015-00054440",2015-09-15 12:51:00,"2000 BLOCK SHATTUCK AVE","1194","",1,"WM4RCN","White","Male","40+","Probation/ Paroleeasonable Suspicion","Citation","No Search",12,"3"
"2015-00054441",2015-09-15 12:52:00,"37.8790853580001~-122.307920758","T","",1,"HM4TCN","Hispanic","Male","40+","Traffic","Citation","No Search",12,"3"
"2015-00054448",2015-09-15 13:10:00,"BANCROFT WAY / MCKINLEY AVE","T","",1,"AF2TCN","Asian","Female","18-29","Traffic","Citation","No Search",13,"3"
"2015-00054450",2015-09-15 13:26:00,"2500 BLOCK TELEGRAPH AVE","1194","",1,"WM4RCN","White","Male","40+","Probation/ Paroleeasonable Suspicion","Citation","No Search",13,"3"
"2015-00054453",2015-09-15 13:54:00,"37.8609962420001~-122.256143699","1194","",1,"WM3RCN","White","Male","30-39","Probation/ Paroleeasonable Suspicion","Citation","No Search",13,"3"
"2015-00054456",2015-09-15 14:10:00,"HASTE ST / M L KING JR WAY","T","",1,"WF3TCN","White","Female","30-39","Traffic","Citation","No Search",14,"3"
"2015-00054460",2015-09-15 14:51:00,"SAN PABLO AVE / CEDAR ST","T","",1,"WM4TWN","White","Male","40+","Traffic","Warning","No Search",14,"3"
"2015-00054463",2015-09-15 14:56:00,"VIRGINIA ST / TENTH ST","T","",1,"WM4TCN","White","Male","40+","Traffic","Citation","No Search",14,"3"
"2015-00054483",2015-09-15 16:29:00,"ADDISON ST / ROOSEVELT AVE","1194","AR",1,"BM3WAS","Black","Male","30-39","Wanted","Arrest","Search",16,"3"
"2015-00054493",2015-09-15 17:38:00,"GRANT ST / DWIGHT WAY","T","",1,"WF4TWN","White","Female","40+","Traffic","Warning","No Search",17,"3"
"2015-00054502",2015-09-15 18:19:00,"37.8661036188751~-122.305688135031","1196","",1,"WM4RWN","White","Male","40+","Probation/ Paroleeasonable Suspicion","Warning","No Search",18,"3"
"2015-00054503",2015-09-15 18:21:00,"CEDAR ST / SHATTUCK AVE","T","",1,"WM2TCN","White","Male","18-29","Traffic","Citation","No Search",18,"3"
"2015-00054504",2015-09-15 18:22:00,"2200 BLOCK SHATTUCK","1194","M",1,"WM3RWN","White","Male","30-39","Probation/ Paroleeasonable Suspicion","Warning","No Search",18,"3"
"2015-00054524",2015-09-15 21:33:00,"DWI/FUL","T","",1,"WF2TWN","White","Female","18-29","Traffic","Warning","No Search",21,"3"
"2015-00054536",2015-09-15 22:48:00,"SIXTH ST / CEDAR ST","T","",1,"HM2TWN","Hispanic","Male","18-29","Traffic","Warning","No Search",22,"3"
"2015-00054538",2015-09-15 23:08:00,"TELEGRAPH AVE / PARKER ST","T","",1,"AM2TCN","Asian","Male","18-29","Traffic","Citation","No Search",23,"3"
"2015-00054539",2015-09-15 23:20:00,"OXFORD ST / KITTREDGE ST","1196","",1,"HM2TWN","Hispanic","Male","18-29","Traffic","Warning","No Search",23,"3"
"2015-00054541",2015-09-15 23:36:00,"SACRAMENTO ST / OREGON ST","T","",1,"BF2TCN","Black","Female","18-29","Traffic","Citation","No Search",23,"3"
"2015-00054553",2015-09-16 00:27:00,"SHATTUCK AVE / BANCROFT WAY","T","",1,"WM4TWN","White","Male","40+","Traffic","Warning","No Search",0,"4"
"2015-00054555",2015-09-16 00:33:00,"SEVENTH ST / PARKER ST","T","",1,"WM3TWN","White","Male","30-39","Traffic","Warning","No Search",0,"4"
"2015-00054564",2015-09-16 03:20:00,"CHANNING WAY / TELEGRAPH AVE","1196","P",1,"HM3TAS","Hispanic","Male","30-39","Traffic","Arrest","Search",3,"4"
"2015-00054566",2015-09-16 04:38:00,"MCKINLEY WAY/ALLSTON WAY","1194","",1,"BM4IWS","Black","Male","40+","Investigation","Warning","Search",4,"4"
"2015-00054588",2015-09-16 08:43:00,"CARLETON ST / FULTON ST","T","M",1,"BM4TCS","Black","Male","40+","Traffic","Citation","Search",8,"4"
"2015-00054627",2015-09-16 12:39:00,"ADDISON ST / M L KING JR WAY","1194","IN",1,"BM1RON","Black","Male","0-18","Probation/ Paroleeasonable Suspicion","Other","No Search",12,"4"
"2015-00054629",2015-09-16 12:52:00,"2100 BLOCK SHATTUCK AVE","1194","",1,"HM4RWN","Hispanic","Male","40+","Probation/ Paroleeasonable Suspicion","Warning","No Search",12,"4"
"2015-00054640",2015-09-16 13:19:00,"2100 BLOCK SHA5TTUCK AVE","1194","",1,"BM3RCN","Black","Male","30-39","Probation/ Paroleeasonable Suspicion","Citation","No Search",13,"4"
"2015-00054644",2015-09-16 13:37:00,"2900 BLOCK TELEGRAPH AVE","1194","",1,"BM3RCN","Black","Male","30-39","Probation/ Paroleeasonable Suspicion","Citation","No Search",13,"4"
